Station Name,Street Address,City,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,New Georeferenced Column,Total_Charging_Points
Lia Nissan - Enfield,10 Palomba Dr,Enfield,Dealership business hours,0,1,0,NONE,POINT (-72.574713 41.997574),1
North Canaan Shopping Center - Tesla Supercharger,11 E Main St,North Canaan,24 hours daily; for Tesla use only,0,0,8,NONE,POINT (-73.322808 42.024351),8
Lombard Ford,385 New Hartford Rd,Barkhamsted,Dealership business hours; customer use only,0,2,0,NONE,POINT (-73.042576 41.909753),2
Danbury Fair Mall,7 Backus Ave,Danbury,24 hours daily,0,0,2,NONE,POINT (-73.47904 41.380158),2
City of Milford - Public Library,57 New Haven Ave,Milford,24 hours daily,0,2,0,NONE,POINT (-73.053647 41.221934),2
Public Parking Lot,1 Morse Ct,New Canaan,Parking lot hours,0,1,0,NONE,POINT (-73.4924 41.1464),1
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for Tesla use only,0,0,2,NONE,POINT (-73.009059 41.245823),2
TS,1 American Ln,Greenwich,24 hours daily,0,2,0,NONE,POINT (-73.7226456 41.0983971),2
Russell Mercier Senior Center,14 Stonecroft Dr,Hebron,24 hours daily,0,2,0,NONE,POINT (-72.367191 41.65659),2
Roger Ludlowe School,689 Unquowa Rd,Fairfield,School hours,0,2,0,NONE,POINT (-73.261769 41.148757),2
Town of Hebron,15 Gilead St,Hebron,24 hours daily,0,2,0,NONE,POINT (-72.366742 41.658572),2
Southington Municipal Center,200 N Main St,Southington,24 hours daily,0,2,0,NONE,POINT (-72.87939 41.606301),2
Middletown School District - Middletown High School,200 LaRosa Ln,Middletown,24 hours daily,0,2,0,NONE,POINT (-72.681921 41.576716),2
Town of Groton - Town Hall Annex,134 Groton Long Point Rd,Groton,24 hours daily,0,2,0,NONE,POINT (-72.009806 41.341893000000006),2
TOWN HALL,31 Park Street,Guilford,24 hours daily,0,2,0,NONE,POINT (-72.6798002 41.2832367),2
TRUMBULL MALL,5065 Main Street,Trumbull,24 hours daily,0,2,0,NONE,POINT (-73.2246399 41.2286526),2
Parthenon Diner of Old Saybrook - Tesla Destination,809 Boston Post Rd,Old Saybrook,24 hours daily; for customer use only,0,1,0,NONE,POINT (-72.38345 41.292172),1
Western Connecticut State University,43 Lake Ave Extension,Danbury,24 hours daily,0,1,0,NONE,POINT (-73.492801 41.394446),1
BIG Y FOODS,224 Salem Turnpike,Norwich,24 hours daily,0,2,0,NONE,POINT (-72.12423 41.505790000000005),2
Ridgeway Shopping Center,2202 Bedford St,Stamford,24 hours daily,0,0,1,NONE,POINT (-73.545939 41.068654),1
Clark Memorial Library,538 Amity Rd,Bethany,24 hours daily,0,2,0,NONE,POINT (-72.99499 41.427276),2
City of New Haven - Orchard Sherman Parking Lot,102 N Frontage Rd,New Haven,24 hours daily; pay lot,0,2,0,NONE,POINT (-72.944576 41.306583),2
Town of Westport - Westport Metro North,1 Railroad Pl,Westport,24 hours daily; pay lot,1,1,0,NONE,POINT (-73.369266 41.119291),2
Greenwich Northbound Travel Plaza - Tesla Supercharger,3000 Merritt Parkway,Greenwich,24 hours daily; for Tesla use only,0,0,4,NONE,POINT (-73.671661 41.041538),4
Central Connecticut State University- Welte Garage,39 Ella Grasso Blvd,New Britain,24 hours daily,0,3,0,NONE,POINT (-72.769268 41.692299),3
Isham Garage,17 Isham Rd,West Hartford,Garage business hours; pay lot,0,1,0,NONE,POINT (-72.740521 41.760873),1
GENE LANGAN VW,816 New London Turnpike,Glastonbury,24 hours daily,0,2,0,NONE,POINT (-72.593366 41.704415),2
I-91 Tech Park,845 Brook St,Rocky Hill,24 hours daily; priority for Connecticut Green Bank employees,0,2,0,NONE,POINT (-72.676125 41.641774),2
Homestead Inn - Tesla Destination,5 Elm St,New Milford,24 hours daily; for customer use only; see front desk for access,0,2,0,NONE,POINT (-73.411005 41.580889),2
Western Connecticut State University,179 White St,Danbury,24 hours daily,0,2,0,NONE,POINT (-73.44475 41.399432),2
Grace Mayflower Inn and Spa - Tesla Destination,118 Woodbury Rd,"Rte 47, Washington",24 hours daily; for customer use only; see front desk for access,0,3,0,NONE,POINT (-73.305987 41.628601),3
I-95 Madison SB Service Plaza - Tesla Supercharger,I-95 South Bound,Madison,24 hours daily; Tesla users only,0,0,10,NONE,POINT (-72.5793623215072 41.291902304928),10
Bishop's Orchards Farm Market,1355 Boston Post Rd,Guilford,24 hours daily,0,2,0,NONE,POINT (-72.695702 41.290395),2
Campus at Greenhill,108 Leigus Road,Wallingford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,0,4,0,NONE,POINT (-72.775522 41.478889),4
Connecticut Department of Motor Vehicles,1365 Highland Ave,Cheshire,9am-5pm M-F,0,1,0,NONE,POINT (-72.8935933 41.5374181),1
Town of Glastonbury - Town Hall,2155 Main St,Glastonbury,24 hours daily,0,1,0,NONE,POINT (-72.611655 41.706856),1
Green’s Farms Railroad Station,2 Post Office Ln,Westport,24 hours daily,0,1,0,NONE,POINT (-73.315136 41.122442),1
Connecticut Insurance Exchange of Southington,1133 Meriden-Waterbury Turnpike,Plantsville,24 hours daily,0,1,0,NONE,POINT (-72.88305 41.564358),1
HOFFMAN HONDA 1,40 Albany Turnpike,Simsbury,24 hours daily,0,4,0,NONE,POINT (-72.869331 41.818224),4
CT RAIL,51 Depot Rd,Berlin,24 hours daily,0,2,0,NONE,POINT (-72.7653384 41.6356154),2
Three Rivers Community College,574 New London Turnpike,Norwich,24 hours daily,0,2,0,NONE,POINT (-72.10451 41.510596),2
Town of Stafford - Public Works Garage,210 E St,Stafford Springs,24 hours daily,0,1,0,NONE,POINT (-72.290233 41.984164),1
Woodbridge Town Hall,11 Meetinghouse Ln,Woodbridge,24 hours daily,0,2,0,NONE,POINT (-73.014176 41.354138),2
Steelpointe Harbor,255 East Main Street,Bridgeport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,0,4,0,NONE,POINT (-73.18122320000002 41.1781223),4
COMM LOT STA 1,5 Depot Pl,Bethel,24 hours daily,0,2,0,NONE,POINT (-73.4145557 41.3703626),2
The Promenade Shops at Evergreen Walk - Tesla Destination,401 Evergreen Wy,South Windsor,24 hours daily,0,2,0,NONE,POINT (-72.556345 41.812203),2
TOWN OF PUTNAM,1-73 Canal St,Putnam,24 hours daily,0,2,0,NONE,POINT (-71.9098896 41.914513),2
Maritime Garage,11 North Water Street,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,0,1,0,NONE,POINT (-73.418955 41.104278),1
GE WS - Price Chopper #243 Storrs CT 2,1220  Storrs Rd,Mansfield,24 hours daily,0,1,0,NONE,POINT (-72.241315 41.801976),1
Stratford Square,411 Barnum Ave Cutoff,Stratford,24 hours daily,0,0,8,NONE,POINT (-73.122342 41.198018),8
Cumberland Farms,471 New Park Ave,West Hartford,24 hours daily,0,0,1,NONE,POINT (-72.718112 41.741696),1
City of New Haven - Air Rights Garage,60 York St,New Haven,24 hours daily; pay lot,0,5,0,NONE,POINT (-72.934141 41.305265),5
Lime Rock Park - Tesla Destination,60 White Hollow Rd,Lakeville,24 hours daily; for customer use only,0,11,0,NONE,POINT (-73.389367 41.930342),11
Danbury Fair Mall - Tesla Supercharger,7 Backus Ave,Danbury,24 hours daily; for Tesla use only,0,0,10,NONE,POINT (-73.477961 41.379441),10
Western Connecticut State University,198 White St,Danbury,24 hours daily,0,4,0,NONE,POINT (-73.443485 41.398492),4
Coventry High School,78 Ripley Hill Rd,Coventry,24 hours daily,0,2,0,NONE,POINT (-72.313767 41.782923),2
Bell Street Garage,28 Bell St,Stamford,Restricted to garage hours; pay lot,0,3,0,NONE,POINT (-73.540733 41.052215),3
Groton New London Airport,155 Tower Ave,Groton,24 hours daily,0,2,0,NONE,POINT (-72.044683 41.332527),2
TEN TEN WASH,1010 Washington Blvd,Stamford,24 hours daily,0,2,0,NONE,POINT (-73.5431681 41.0535888),2
RSI EAST,1115 West St,Southington,24 hours daily,0,2,0,NONE,POINT (-72.8973437 41.618456),2
University of Connecticut - School of Law,55 Elizabeth St,Hartford,Lot business hours,0,2,0,NONE,POINT (-72.70705 41.772484),2
CROWLEY VW,245 New Britain Ave,Plainville,24 hours daily,0,2,0,NONE,POINT (-72.8411522 41.6771741),2
Homewood Suites,99 Marsh Hill Rd,Orange,For guest use only,0,8,0,NONE,POINT (-72.998271 41.252117),8
Asnuntuck Community College,170 Elm St,Enfield,24 hours daily,0,3,0,NONE,POINT (-72.5697849 42.0000268),3
Fairfield NB - Tesla Supercharger,165 Round Hill Road,Fairfield,24 hours daily; for Tesla use only,0,0,12,NONE,POINT (-73.257123 41.146214),12
Connecticut Department of Energy and Environmental Protection - Marine Headquarters,333 Ferry Rd,Old Lyme,24 hours daily,0,2,0,NONE,POINT (-72.345572 41.312148),2
Precision Motors of Mystic,2400 Gold Star Hwy,Mystic,24 hours daily,0,2,0,NONE,POINT (-71.988657 41.390465),2
Wesleyan University,161 Cross St,Middletown,24 hours daily,0,4,0,NONE,POINT (-72.662214 41.550883),4
BMW BRIDGEPORT,43 North Ave,Bridgeport,24 hours daily,0,2,0,NONE,POINT (-73.1897466 41.2020685),2
Connecticut State Capitol,210 Capitol Ave,Hartford,24 hours daily,0,2,0,NONE,POINT (-72.682868 41.764759),2
Executive Nissan,900 Universal Dr N,North Haven,Dealership business hours,0,1,1,NONE,POINT (-72.870997 41.360892),2
Propark Harbor Point Gateway Garage - Tesla Destination,406-424 Washington Blvd,Stamford,24 hours daily,0,2,0,NONE,POINT (-73.543258 41.045384000000006),2
Wallingford Shopping Center,930 N Colony Rd,Wallingford,24 hours daily,0,2,0,NONE,POINT (-72.807124 41.483774),2
Fairfield Parks and Recreation Center,75 Mill Plain Rd,Fairfield,24 hours daily,0,2,0,NONE,POINT (-73.263962 41.142152),2
The Westport Library,20 Jesup Road,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,0,2,0,NONE,POINT (-73.3613829 41.1396711),2
Homestead Inn - Thomas Henkelmann - Tesla Destination,420 Field Point Rd,Greenwich,24 hours daily; for customer use only; see front desk for access,0,3,0,NONE,POINT (-73.634045 41.015276),3
MORSCHES FF,95 Reef Rd,Fairfield,24 hours daily,0,2,0,NONE,POINT (-73.2564712 41.1399023),2
Panera Bread,1129 Silas Deane Hwy,Wethersfield,24 hours daily,0,1,0,NONE,POINT (-72.656507 41.691611),1
Hoffman Toyota,36 Albany Turnpike,West Simsbury,Dealership business hours,0,1,0,NONE,POINT (-72.867973 41.818345),1
Ferguson Library - Harry Bennett Branch,115 Vine Rd,Stamford,24 hours daily,0,2,0,NONE,POINT (-73.544039 41.099044),2
City of Hartford - Department of Public Works,50 Jennings Rd,Hartford,24 hours daily,0,1,0,NONE,POINT (-72.652406 41.785974),1
Hammonasset Beach State Park - North,1288 Boston Post Rd,Madison,24 hours daily,0,4,0,NONE,POINT (-72.561988 41.26449),4
Metro Center Garage,1 Station Place,Stamford,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,0,1,0,NONE,POINT (-73.54198740000001 41.0457112),1
Middletown Nissan,1153 Newfield St,Middletown,Dealership business hours,0,3,1,NONE,POINT (-72.676141 41.59054),4
Wesleyan University,Lawn Ave & High St,Middletown,24 hours daily,1,2,0,NONE,POINT (-72.65395 41.553597),3
Newington Town Center - Municipal Parking Lot,83 Market Square,Newington,24 hours daily,0,2,0,NONE,POINT (-72.721392 41.696446),2
Ridgeway Shopping Center - Tesla Supercharger,2233 Summer Street,Stamford,24 hours daily; for Tesla use only,0,0,12,NONE,POINT (-73.546435 41.068704),12
Connecticut Post Mall - NW Entrance,1201 Boston Post Rd,Milford,6am-12pm daily,0,2,0,NONE,POINT (-73.036899 41.23608),2
Girard Nissan,425 Gold Star Hwy,Groton,Dealership business hours,0,1,0,NONE,POINT (-72.054118 41.370989),1
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for Tesla use only,0,0,2,NONE,POINT (-73.010522 41.246242),2
Goodwin University,211 Riverside Dr,East Hartford,24 hours daily,0,2,0,NONE,POINT (-72.640075 41.743194),2
Greater Hartford Transit District - Spruce Street Lot,1 Union Pl,Hartford,24 hours daily; pay lot,1,1,0,NONE,POINT (-72.68182500000002 41.769417),2
Illiano's Restaurant,257 W Town St,Yantic,11am-10pm daily,0,1,0,NONE,POINT (-72.113144 41.55775),1
Town of Hamden - Police Department,2900 Dixwell Ave,Hamden,24 hours daily,0,2,0,NONE,POINT (-72.903596 41.384051),2
Fairfield Senior Center,100 Mona Terrace,Fairfield,24 hours daily,0,2,0,NONE,POINT (-73.26088 41.132277),2
Butler Street Parking Lot,30 Butler St,Meriden,24 hours daily,0,2,0,NONE,POINT (-72.805988 41.53697),2
Propark - 777 Main,777 Main St,Hartford,Restricted to garage hours; pay lot,0,17,1,NONE,POINT (-72.67363400000002 41.766034),18
JOHN ST CHARGER,234 John St,Bridgeport,24 hours daily,0,2,0,NONE,POINT (-73.1911131 41.1772308),2
Peck Lane Plaza Shopping Center,550 Boston Post Rd,Orange,24 hours daily,0,0,1,NONE,POINT (-73.017784 41.251801),1
PRESTIGE VW,42-46 W Broad St,Stamford,24 hours daily,0,2,0,NONE,POINT (-73.5464906 41.0553525),2
Fairfield Recreation Center,75 Mill Plain Rd,Fairfield,24 hours daily,0,2,0,NONE,POINT (-73.264636 41.14221200000001),2
Norwalk Community College,188 Richards Ave,Norwalk,"7am-10pm M-F, 8am-5pm Sat",0,2,0,NONE,POINT (-73.452539 41.102848),2
LAZ Fly Airport Parking,24 Ella Grasso Turnpike,Windsor Locks,24 hours daily,0,2,0,NONE,POINT (-72.672748 41.918347),2
CT RAIL,60 State St,Meriden,24 hours daily,0,2,0,NONE,POINT (-72.8007814 41.5394301),2
Killingly Town Hall,172 Main St,Killingly,24 hours daily,0,1,0,NONE,POINT (-71.88232300000001 41.80577),1
Central Connecticut State University - Welte Hall Parking Lot,105 Ella Grasso Blvd,New Britain,24 hours daily,0,3,0,NONE,POINT (-72.768107 41.693501),3
The Inn at Woodstock Hill,94 Plaine Hill Rd,Woodstock,24 hours daily,1,1,0,NONE,POINT (-71.97262186000002 41.94378281),2
Wilton Public Library,137 Old Ridgefield Rd,Wilton,"10am-8pm M-Th, 10am-6pm F, 10am-5pm Sat, 1pm-5pm Sun (Sunday hours in winter only)",0,1,0,NONE,POINT (-73.43124 41.192802),1
HAJJAR,213 Court St,Middletown,24 hours daily,0,2,0,NONE,POINT (-72.65018090000001 41.5590961),2
Goodwin University,403 Main St,East Hartford,24 hours daily,0,2,0,NONE,POINT (-72.639362 41.749499),2
Stony Creek Brewery - Tesla Destination,5 Indian Neck Ave,Branford,24 hours daily,0,1,0,NONE,POINT (-72.812491 41.274658),1
Big Y,1021 Main St,Cheshire,24 hours daily,0,2,0,NONE,POINT (-72.907523 41.476271),2
Connecticut Post Mall - Dave & Buster's,1201 Boston Post Rd,Milford,6am-12am daily,0,2,0,NONE,POINT (-73.033472 41.23636),2
City of Middletown - Mellili Plaza Public Parking,245 DeKoven Dr,Middletown,24 hours daily,0,12,0,NONE,POINT (-72.648056 41.561647),12
Ford of Branford,301 E Main St,Branford,Dealership business hours; Ford use only,0,2,0,NONE,POINT (-72.789844 41.292505000000006),2
Morton Government Center,239 John St,Bridgeport,24 hours daily,0,1,0,NONE,POINT (-73.191423 41.177007),1
Town of Groton - Public Library,52 Newtown Rd,Groton,24 hours daily,0,2,0,NONE,POINT (-72.028928 41.347552),2
Burlington Library,34 Library Ln,Burlington,24 hours daily,0,2,0,NONE,POINT (-72.967327 41.771305),2
Bruce Bennett Nissan,978 Danbury Rd,Wilton,Dealership business hours,0,1,1,NONE,POINT (-73.435546 41.258992),2
Park 'N Fly - Bradley International Airport,1186 South St,Suffield,24 hours daily; pay lot; see attendant for access,0,2,0,NONE,POINT (-72.663078 41.951328),2
Van Wilgen's Garden Center,51 Valley Rd,North Branford,9am-5pm M-F,0,1,0,NONE,POINT (-72.766102 41.306955),1
REYNOLDS SUBARU,272 Hamburg Rd,Lyme,24 hours daily,0,2,0,NONE,POINT (-72.3518219 41.3890729),2
Tingue Dam Bypass Channel - Wakeley Street Parking Lot,37 Wakeley St,Seymour,24 hours daily,0,2,0,NONE,POINT (-73.075525 41.394315000000006),2
Mohegan Sun,1 Mohegan Sun Blvd,Uncasville,24 hours daily,0,4,0,NONE,POINT (-72.091456 41.491597),4
COMCAST,90 Phoenix Ave,Enfield,24 hours daily,0,4,0,NONE,POINT (-72.581611 41.977252),4
Greenlots - 92143,665 Commerce Dr,Fairfield,24 hours daily,0,2,0,NONE,POINT (-73.23358 41.163146),2
777 Main Street - Tesla Supercharger,777 Main Street,Hartford,24 hours daily; for Tesla use only,0,0,6,NONE,POINT (-72.674129 41.766493),6
BMW RIDGEFIELD,746 Danbury Rd,Ridgefield,24 hours daily,0,0,1,NONE,POINT (-73.4722156 41.3305782),1
"DoubleTree by Hilton - Norwalk, CT - Tesla Destination",789 Connecticut Ave,Norwalk,24 hours daily; see front desk for access,0,1,0,NONE,POINT (-73.453043 41.092037),1
BIG Y FOODS,140 suit A West Rd,Ellington,24 hours daily,0,2,0,NONE,POINT (-72.46388 41.888958),2
Wrap N Shine Auto Spa - Tesla Destination,97 Bridgeport Ave #10,Shelton,24 hours daily; for customer use only,0,1,0,NONE,POINT (-73.097982 41.310498),1
Western Connecticut State University,190 White St,Danbury,24 hours daily,0,3,0,NONE,POINT (-73.442053 41.39936),3
MINI OF FFD CTY,154 US-1 154 post rd,Darien,24 hours daily,0,2,0,NONE,POINT (-73.4569573 41.089032),2
Delamar West Hartford - Tesla Destination,1 Memorial Rd,West Hartford,24 hours daily; for customer use only,0,3,0,NONE,POINT (-72.737672 41.760566),3
Connecticut Department of Motor Vehicles,60 State St,Wethersfield,8am-5pm M-F,0,1,0,NONE,POINT (-72.655754 41.71866250000001),1
Mill Plain Diner - Tesla Destination,14 Mill Plain Rd,Danbury,24 hours daily; for customer use only,0,1,0,NONE,POINT (-73.494706 41.38756),1
Sherman Green,1451 Post Rd,Fairfield,24 hours daily,0,1,0,NONE,POINT (-73.256774 41.140584),1
Stamford Government Center Garage,888 Washington Blvd,Stamford,24 hours daily,0,3,0,NONE,POINT (-73.542499 41.051637),3
Z Airport Parking,3 International Dr,East Granby,24 hours daily,0,1,0,NONE,POINT (-72.709138 41.928233),1
Hyatt Regency Greenwich - Tesla Destination,1800 E Putnam Ave,Greenwich,24 hours daily; for customer use only,0,2,0,NONE,POINT (-73.566753 41.046329),2
Surface Parking Lot,121 Main St,New Britain,24 hours daily,0,2,0,NONE,POINT (-72.781161 41.666233),2
Deep River Library,150 Main St,Deep River,24 hours daily; see code on the face of charger or ask librarian to initiate charge,1,1,0,NONE,POINT (-72.43670100000001 41.386805),2
State House Square,10-90 State House Square,Hartford,24 hours daily,0,1,0,NONE,POINT (-72.671417 41.766822),1
City of Milford - Train Station Parking,1 Railroad Ave,Milford,24 hours daily,0,2,0,NONE,POINT (-73.060012 41.222682),2
Hammonasset Beach State Park - Meig's Point Nature Center,1288 Boston Post Rd,Madison,24 hours daily,0,4,0,NONE,POINT (-72.546017 41.251952),4
Grossman Nissan,295 Middlesex Turnpike,Old Saybrook,Dealership business hours,0,1,1,NONE,POINT (-72.383105 41.309276),2
"Saybrook Point Inn, Spa & Marina - Tesla Destination",2 Bridge St,Old Saybrook,24 hours daily; for customer use only,0,4,0,NONE,POINT (-72.351072 41.28331),4
Fairfield Train Station Overflow Lot,140 Mill Plain Rd,Fairfield,24 hours daily; pay lot,0,1,0,NONE,POINT (-73.264399 41.142923),1
Metro Center 1,One Station Place,Stamford,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,0,1,0,NONE,POINT (-73.542177 41.046112),1
Dinosaur State Park and Arboretum,400 West St,Rockyhill,Park business hours,0,2,0,NONE,POINT (-72.658514 41.651179),2
Staples High School,70 North Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,0,2,0,NONE,POINT (-73.3304754 41.1526176),2
Windham Town Hall,979 Main St,Windham,24 hours daily,0,2,0,NONE,POINT (-72.217506 41.71292),2
West Hartford - Town Hall,50 S Main St,West Hartford,Parking lot business hours,0,2,0,NONE,POINT (-72.741204 41.758754),2
Connecticut Welcome Center - Tesla Supercharger,1 E Trail,Darien,24 hours daily; for Tesla use only,0,0,4,NONE,POINT (-73.46135 41.080103),4
City of New Haven - Temple Street Garage,1 Temple St,New Haven,24 hours daily; pay lot,0,3,0,NONE,POINT (-72.928369 41.304245),3
Minor Memorial Library,23 South St,Roxbury,24 hours daily,0,1,0,NONE,POINT (-73.30764000000002 41.55358),1
Szczesny Parking Garage,31 Bank St,New Britain,24 hours daily,0,2,0,NONE,POINT (-72.78037 41.666879),2
GE WS - Price Chopper #243 Storrs CT 1,1220  Storrs Rd,Mansfield,24 hours daily,0,1,0,NONE,POINT (-72.241254 41.80199700000001),1
AAMCO EV,133 Pitkin St,East Hartford,24 hours daily,0,2,0,NONE,POINT (-72.65266880000001 41.7632299),2
Winvian Farm - Tesla Destination,155 Alain White Rd,Morris,24 hours daily; for customer use only; see front desk for access,0,3,0,NONE,POINT (-73.201059 41.697035),3
Brass Mill Center - Entrance 3,495 Union St,Waterbury,6am-12pm daily,0,4,0,NONE,POINT (-73.023973 41.549008),4
COMM LOT STA 1,13 Durant Ave.,Bethel,24 hours daily,0,2,0,NONE,POINT (-73.4178034 41.3762377),2
Waterbury-Oxford Airport,300 Christian St,Oxford,24 hours daily,0,2,0,NONE,POINT (-73.146142 41.477151000000006),2
Shagbark Lumber and Farm Supply,1 Mt Parnassus Millington Rd,East Haddam,24 hours daily,0,1,0,NONE,POINT (-72.442533 41.463278),1
Metro Green Residential Parking - Tesla Destination,717  Atlantic St,Stamford,24 hours daily,0,3,0,NONE,POINT (-73.540098 41.04514),3
Hartford Road Henny Penny,969 Hartford Road,Waterford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,0,2,0,NONE,POINT (-72.1591426 41.3874871),2
FOXWOODS,101 Trolley Line Blvd,Mashantucket,24 hours daily,0,2,0,NONE,POINT (-71.9523342 41.469981700000005),2
Convention Center - Hartford,100 Columbus Blvd,Hartford,24 hours daily; pay lot,0,6,0,NONE,POINT (-72.668973 41.762852),6
County Line Buick-Nissan,2191 Straits Turnpike,Middlebury,Dealership business hours,0,1,0,NONE,POINT (-73.098764 41.568122),1
MYSTIC AQUARIUM,55 Coogan Blvd,Mystic,24 hours daily,0,0,1,NONE,POINT (-71.954088 41.373074),1
University of Connecticut - Waterbury,99 E Main St,Waterbury,24 hours daily,0,2,0,NONE,POINT (-73.038135 41.555816),2
Danbury Parking Authority,21 Delay St,Danbury,Garage business hours,0,2,0,NONE,POINT (-73.451059 41.396042),2
INFINITYGREEN,201 Commons Park S,Stamford,24 hours daily,0,2,0,NONE,POINT (-73.5405387 41.040838),2
City of Hartford - City Hall,35 Arch St,Hartford,24 hours daily,0,1,0,NONE,POINT (-72.672842 41.762206),1
White Hart Inn - Tesla Destination,15 Undermountain Rd,Salisbury,24 hours daily; for customer use only,0,1,0,NONE,POINT (-73.42219800000001 41.98483),1
Premier Subaru,155 N Main St,Branford,24 hours daily,0,2,0,NONE,POINT (-72.813257 41.287914),2
Central Connecticut State University - Student Center Parking Garage,165 Ella Grasso Blvd,New Britain,24 hours daily,0,3,0,NONE,POINT (-72.7663278757019 41.6938875513217),3
University of Connecticut - South Parking Garage,505 Jim Calhoun Way,Storrs,Garage business hours,0,2,0,NONE,POINT (-72.253601 41.805152),2
Carter Chevrolet,175 Hartford Turnpike,Vernon,Dealership business hours,0,2,1,NONE,POINT (-72.5009065449829 41.8218766595564),3
Dunkin' Donuts,189 Forbes Ave,New Haven,24 hours daily,0,0,1,NONE,POINT (-72.9 41.294167),1
Bloomfield Human Services Center,330 Park Avenue,Bloomfield,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,0,2,0,NONE,POINT (-72.712466 41.8234945),2
Grand Central Fashion Plaza Shopping Center - Tesla Supercharger,1145 High Ridge Rd,North Stamford,24 hours daily; for Tesla use only,0,0,8,NONE,POINT (-73.546513 41.107722),8
University of Connecticut - North Parking Garage,103 N Eagleville Rd,Storrs,Garage business hours,0,2,0,NONE,POINT (-72.258277 41.809176),2
Fairfield SB - Tesla Supercharger,267 Round Hill Road,Fairfield,24 hours daily; for Tesla use only,0,0,8,NONE,POINT (-73.255573 41.14807),8
Fairfield Woods Library,1147 Fairfield Woods Rd,Fairfield,24 hours daily,0,1,0,NONE,POINT (-73.250024 41.187855),1
Yankee Doodle,10 Burnell Boulevard,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,0,1,0,NONE,POINT (-73.414932 41.11803),1
Lee Partyka Chevrolet Mazda Isuzu,200 Skiff St,Hamden,Dealership business hours,0,3,0,NONE,POINT (-72.9100121 41.3729709),3
777 MAIN ST,71 Asylum St,Hartford,24 hours daily,0,10,1,NONE,POINT (-72.674468 41.766676),11
Norwich Public Utilities,173 N Main St,Norwich,24 hours daily,0,4,0,NONE,POINT (-72.063516 41.52757900000001),4
Fairfield Plaza,116 Danbury Rd,New Milford,24 hours daily,0,0,1,NONE,POINT (-73.41763 41.55735),1
Eastern Connecticut State University - Shakespeare Parking Garage,24 Charger Oak Dr,Willimantic,24 hours daily,0,4,0,NONE,POINT (-72.208134 41.7385909),4
